iter	RMSE
0	34142.36851
1	34059.39455
2	33983.52238
3	33901.68067
4	33823.29376
5	33750.59117
6	33673.70377
7	33602.0874
8	33523.99236
9	33450.36756
10	33373.75501
11	33304.5221
12	33234.28627
13	33168.89361
14	33103.4024
15	33038.80363
16	32967.49132
17	32902.89292
18	32834.70253
19	32772.31406
20	32707.47141
21	32647.52314
22	32589.0192
23	32524.44146
24	32465.0338
25	32401.96382
26	32341.79967
27	32285.05558
28	32226.67471
29	32165.09475
30	32102.7502
31	32042.54644
32	31984.46182
33	31927.05269
34	31870.03209
35	31812.40069
36	31754.84528
37	31702.20961
38	31647.52284
39	31591.99346
40	31537.81423
41	31486.23634
42	31432.32173
43	31378.51007
44	31330.71588
45	31279.92289
46	31234.61446
47	31185.26533
48	31136.87472
49	31088.92025
50	31044.55031
51	30999.00884
52	30953.46368
53	30905.71007
54	30863.04734
55	30815.96226
56	30772.23683
57	30731.79703
58	30689.18654
59	30647.99943
60	30606.40287
61	30562.39111
62	30521.66948
63	30483.32864
64	30443.45714
65	30401.0044
66	30361.18325
67	30324.46233
68	30281.97751
69	30243.52193
70	30203.67773
71	30166.82257
72	30129.30879
73	30092.83116
74	30060.29582
75	30025.66767
76	29991.86537
77	29956.12361
78	29921.34414
79	29886.47292
80	29852.90632
81	29821.71868
82	29790.47285
83	29760.19008
84	29729.86599
85	29694.48749
86	29663.14121
87	29633.257
88	29601.9838
89	29570.65916
90	29543.64106
91	29512.66075
92	29485.90197
93	29457.03356
94	29427.64012
95	29397.24785
96	29368.71993
97	29342.70674
98	29315.9262
99	29289.49698
100	29263.67249
101	29235.44547
102	29210.19418
103	29184.79722
104	29161.0293
105	29134.06725
106	29112.01395
107	29084.13898
108	29057.60166
109	29033.59538
110	29008.23154
111	28985.11173
112	28958.50501
113	28935.197
114	28911.32238
115	28888.71044
116	28866.24753
117	28844.39753
118	28822.50543
119	28796.47772
120	28774.96632
121	28755.20704
122	28734.80285
123	28712.19059
124	28693.39037
125	28670.28828
126	28649.11599
127	28629.59457
128	28608.17425
129	28587.09026
130	28565.69499
131	28545.93412
132	28524.73118
133	28505.1381
134	28484.29041
135	28466.2868
136	28446.45402
137	28426.48963
138	28407.48887
139	28388.29052
140	28367.21477
141	28348.5039
142	28332.3719
143	28312.82083
144	28294.9206
145	28275.11106
146	28258.43842
147	28240.27419
148	28218.93658
149	28204.08561
150	28187.63584
151	28170.29123
152	28151.21324
153	28132.47975
154	28114.96368
155	28098.05798
156	28081.0815
157	28065.85649
158	28048.78179
159	28032.31624
160	28012.11379
161	27991.96044
162	27977.33195
163	27961.59891
164	27944.64817
165	27928.83438
166	27911.86764
167	27893.99372
168	27879.00604
169	27863.88643
170	27849.10536
171	27832.47685
172	27817.39269
173	27802.08243
174	27787.1174
175	27770.76289
176	27754.0174
177	27739.51639
178	27725.81841
179	27710.3181
180	27694.93426
181	27680.74019
182	27663.80097
183	27652.35787
184	27637.49524
185	27622.75636
186	27606.91634
187	27594.21771
188	27580.89287
189	27564.89147
190	27550.27754
191	27536.08112
192	27523.88787
193	27509.50113
194	27496.53062
195	27482.22594
196	27468.84821
197	27454.94303
198	27441.87042
199	27429.34576
200	27415.63333
201	27403.98698
202	27390.77763
203	27377.904
204	27366.17889
205	27354.5501
206	27339.86382
207	27326.92371
208	27314.51749
209	27301.5943
210	27290.15826
211	27277.08067
212	27265.08831
213	27251.39593
214	27240.1477
215	27226.0156
216	27213.67468
217	27201.2701
218	27189.85041
219	27176.87855
220	27166.19412
221	27153.67092
222	27141.85459
223	27130.92358
224	27119.93868
225	27109.94436
226	27099.57621
227	27088.44217
228	27079.71585
229	27070.6596
230	27061.00869
231	27048.33877
232	27037.11709
233	27025.31214
234	27015.8775
235	27003.55154
236	26993.30442
237	26980.04181
238	26966.20461
239	26956.68463
240	26946.50822
241	26937.29631
242	26927.75287
243	26916.85336
244	26903.08499
245	26891.64692
246	26883.40169
247	26873.45913
248	26863.81735
249	26854.24605
250	26844.28791
251	26832.05135
252	26819.99028
253	26809.67501
254	26799.83098
255	26787.64306
256	26778.91089
257	26769.70778
258	26760.1825
259	26750.44527
260	26738.41145
261	26728.49669
262	26718.05127
263	26705.79238
264	26696.68027
265	26688.03145
266	26679.62927
267	26669.58897
268	26661.08485
269	26652.09855
270	26643.13156
271	26631.38252
272	26621.55011
273	26612.30988
274	26602.20662
275	26593.04475
276	26584.43584
277	26573.3131
278	26564.78078
279	26557.07807
280	26549.73191
281	26541.27222
282	26531.99719
283	26522.45811
284	26511.84954
285	26503.83705
286	26495.58625
287	26484.81276
288	26475.3063
289	26466.52536
290	26457.42754
291	26447.06135
292	26438.40521
293	26430.67626
294	26422.89896
295	26415.49981
296	26407.4435
297	26398.10154
298	26389.63606
299	26378.88961
300	26370.74277
301	26362.8543
302	26355.37945
303	26348.42388
304	26340.37216
305	26332.19022
306	26324.50025
307	26313.81805
308	26304.24598
309	26296.1382
310	26289.22892
311	26282.86006
312	26272.5632
313	26262.9895
314	26256.30617
315	26249.65127
316	26243.08901
317	26235.75344
318	26228.34902
319	26221.68174
320	26211.20256
321	26204.20853
322	26196.14476
323	26189.66347
324	26182.31125
325	26173.15088
326	26163.33948
327	26156.22265
328	26147.89583
329	26140.957
330	26132.18232
331	26123.53078
332	26114.43836
333	26106.10848
334	26098.90899
335	26092.07483
336	26085.43942
337	26077.65765
338	26070.8529
339	26064.99974
340	26057.24884
341	26049.79351
342	26041.15699
343	26033.04082
344	26026.97812
345	26018.71117
346	26008.15376
347	26002.4711
348	25994.63259
349	25987.56633
350	25981.18995
351	25975.16557
352	25967.67886
353	25959.427
354	25950.10022
355	25939.17274
356	25931.16426
357	25923.14959
358	25917.14413
359	25911.2258
360	25902.31712
361	25894.6714
362	25886.91735
363	25878.94279
364	25868.88842
365	25863.46124
366	25857.86929
367	25852.70591
368	25845.93972
369	25840.98587
370	25833.17143
371	25826.41427
372	25819.36965
373	25810.81365
374	25804.87029
375	25796.77435
376	25789.38218
377	25782.07557
378	25774.39221
379	25768.22532
380	25760.68494
381	25754.1027
382	25747.63903
383	25741.35056
384	25736.52144
385	25730.43688
386	25722.35271
387	25716.29813
388	25708.3284
389	25703.36792
390	25696.52347
391	25689.252
392	25683.55965
393	25679.1486
394	25673.5812
395	25669.13582
396	25662.35001
397	25655.1661
398	25649.28208
399	25643.83724
400	25639.0299
401	25634.1087
402	25626.96656
403	25622.69807
404	25617.7762
405	25609.07538
406	25604.06901
407	25601.537
408	25596.17017
409	25590.7594
410	25581.84929
411	25576.51781
412	25570.67721
413	25565.42945
414	25559.85787
415	25553.4424
416	25546.30891
417	25540.09014
418	25531.63561
419	25526.76136
420	25520.12345
421	25514.73225
422	25508.61199
423	25503.36428
424	25496.9232
425	25490.73008
426	25485.60138
427	25480.11499
428	25475.27471
429	25468.92517
430	25463.6339
431	25457.28756
432	25452.52938
433	25446.44993
434	25441.2853
435	25436.27103
436	25432.46336
437	25426.64071
438	25421.93196
439	25415.0713
440	25410.79902
441	25405.60324
442	25400.29241
443	25396.27238
444	25390.36702
445	25385.45366
446	25379.18554
447	25374.98068
448	25368.10447
449	25363.04467
450	25358.20113
451	25349.52315
452	25344.24566
453	25340.18219
454	25334.22449
455	25329.3866
456	25324.67808
457	25318.53532
458	25308.38507
459	25301.80125
460	25295.73274
461	25290.00478
462	25285.08061
463	25279.45134
464	25274.71568
465	25270.09871
466	25265.69592
467	25259.72562
468	25256.01751
469	25250.059
470	25245.52887
471	25237.22949
472	25231.89278
473	25227.44459
474	25224.74928
475	25221.62021
476	25217.20084
477	25213.39288
478	25206.21483
479	25201.53554
480	25197.96984
481	25192.19183
482	25188.19166
483	25182.69134
484	25178.08382
485	25173.05758
486	25167.12153
487	25163.22721
488	25159.86443
489	25155.03353
490	25150.03493
491	25145.96235
492	25141.68762
493	25136.45368
494	25132.98767
495	25128.74862
496	25123.14169
497	25116.4749
498	25111.51785
499	25106.9838
500	25100.55697
501	25094.97397
502	25089.22463
503	25084.18563
504	25076.71697
505	25073.32166
506	25068.63037
507	25063.94076
508	25060.68305
509	25056.87134
510	25053.54612
511	25046.68319
512	25041.99917
513	25038.91294
514	25035.27576
515	25030.39422
516	25025.4055
517	25021.49921
518	25012.77516
519	25007.44453
520	25000.86454
521	24996.68505
522	24990.87918
523	24986.05535
524	24982.5153
525	24977.29992
526	24973.05427
527	24970.08842
528	24966.37378
529	24963.43541
530	24959.41233
531	24954.18507
532	24948.233
533	24943.73257
534	24938.9357
535	24934.03417
536	24929.97758
537	24925.29611
538	24921.52221
539	24913.80424
540	24909.50987
541	24906.04759
542	24902.19878
543	24896.4108
544	24891.3984
545	24885.46067
546	24881.06028
547	24877.16483
548	24869.7423
549	24864.79514
550	24859.22327
551	24854.3768
552	24849.82105
553	24845.54802
554	24840.79909
555	24837.77208
556	24833.26692
557	24830.04722
558	24826.00543
559	24820.56609
560	24816.33479
561	24812.06919
562	24809.01166
563	24802.63561
564	24798.82911
565	24795.46206
566	24789.60736
567	24785.45367
568	24782.50872
569	24778.81013
570	24773.50111
571	24770.03692
572	24766.48221
573	24762.61298
574	24756.6989
575	24752.79634
576	24749.04466
577	24742.78058
578	24739.68929
579	24734.8351
580	24731.53206
581	24728.19912
582	24724.33425
583	24721.28977
584	24716.77875
585	24711.51641
586	24707.03739
587	24703.90311
588	24702.00468
589	24697.53222
590	24690.9661
591	24684.98171
592	24680.96888
593	24678.54736
594	24672.51409
595	24668.81365
596	24664.6679
597	24661.37675
598	24657.44727
599	24653.09926
600	24648.25395
601	24645.83181
602	24641.98214
603	24637.77456
604	24632.63332
605	24628.108
606	24623.18157
607	24619.56563
608	24614.69487
609	24610.8652
610	24607.96311
611	24605.09301
612	24601.32871
613	24597.13505
614	24592.63457
615	24590.05238
616	24587.24458
617	24582.93059
618	24578.39592
619	24571.89739
620	24568.78797
621	24564.05529
622	24561.16452
623	24557.54943
624	24552.61358
625	24549.4505
626	24544.69457
627	24541.45817
