iter	Passed	Remaining
0	74	747402
1	125	628452
2	175	586302
3	232	580327
4	298	596698
5	355	591983
6	409	584424
7	470	587310
8	529	587432
9	582	581789
10	633	575430
11	686	571684
12	741	569364
13	795	567122
14	851	566571
15	905	564940
16	961	564886
17	1015	562878
18	1072	563552
19	1127	562867
20	1183	562328
21	1237	561160
22	1289	559574
23	1344	558794
24	1401	559116
25	1455	558321
26	1507	556651
27	1564	557329
28	1643	564922
29	1694	563004
30	1745	561185
31	1799	560676
32	1853	559735
33	1904	558320
34	1954	556419
35	2007	555657
36	2060	554882
37	2110	553384
38	2161	552124
39	2212	550955
40	2264	550163
41	2317	549482
42	2367	548173
43	2455	555696
44	2515	556568
45	2566	555355
46	2615	553934
47	2667	553004
48	2720	552500
49	2772	551632
50	2824	550952
51	2876	550300
52	2931	550191
53	2983	549427
54	3034	548655
55	3084	547723
56	3138	547497
57	3211	550551
58	3264	550008
59	3315	549337
60	3367	548624
61	3418	547889
62	3467	547005
63	3518	546263
64	3571	545920
65	3622	545172
66	3672	544475
67	3723	543867
68	3778	543801
69	3832	543610
70	3885	543360
71	3937	542927
72	3989	542584
73	4039	541810
74	4089	541115
75	4140	540662
76	4195	540664
77	4246	540151
78	4297	539735
79	4349	539382
80	4407	539755
81	4465	540147
82	4527	540984
83	4595	542517
84	4663	544029
85	4739	546344
86	4834	550863
87	4906	552670
88	4973	553884
89	5030	553904
90	5084	553691
91	5141	553664
92	5193	553255
93	5247	553005
94	5302	552818
95	5354	552359
96	5404	551735
97	5458	551514
98	5512	551298
99	5569	551348
100	5623	551124
101	5675	550764
102	5727	550381
103	5783	550274
104	5848	551108
105	5909	551626
106	5967	551772
107	6034	552720
108	6095	553161
109	6197	557242
110	6267	558378
111	6325	558410
112	6384	558633
113	6443	558751
114	6520	560458
115	6572	560034
116	6629	560020
117	6688	560132
118	6744	560014
119	6796	559555
120	6846	558999
121	6901	558814
122	6955	558499
123	7005	557953
124	7055	557402
125	7109	557098
126	7160	556689
127	7211	556186
128	7262	555729
129	7313	555277
130	7372	555395
131	7433	555696
132	7491	555785
133	7552	556074
134	7617	556649
135	7671	556444
136	7725	556167
137	7786	556469
138	7848	556812
139	7911	557165
140	8021	560875
141	8118	563610
142	8180	563856
143	8242	564124
144	8301	564183
145	8352	563747
146	8406	563444
147	8470	563856
148	8527	563809
149	8588	563954
150	8649	564164
151	8705	564046
152	8763	564023
153	8827	564378
154	8884	564329
155	8943	564336
156	9004	564534
157	9059	564337
158	9118	564346
159	9174	564215
160	9236	564462
161	9295	564518
162	9355	564595
163	9414	564625
164	9511	566963
165	9591	568191
166	9649	568159
167	9702	567828
168	9780	568937
169	9835	568701
170	9897	568903
171	9957	568961
172	10013	568813
173	10068	568598
174	10126	568525
175	10184	568507
176	10249	568837
177	10307	568763
178	10356	568238
179	10413	568088
180	10469	567980
181	10523	567698
182	10584	567807
183	10644	567861
184	10699	567647
185	10754	567463
186	10812	567415
187	10863	566989
188	10914	566581
189	10965	566168
190	11026	566279
191	11080	566011
192	11132	565674
193	11186	565426
194	11254	565897
195	11340	567242
196	11401	567361
197	11455	567105
198	11514	567096
199	11618	569322
200	11677	569282
201	11732	569075
202	11786	568808
203	11844	568774
204	11906	568885
205	11966	568919
206	12025	568936
207	12087	569032
208	12151	569243
209	12210	569263
210	12264	569006
211	12328	569226
212	12384	569032
213	12435	568680
214	12491	568513
215	12550	568481
216	12612	568594
217	12679	568955
218	12744	569182
219	12811	569513
220	12875	569738
221	12942	570048
222	13032	571382
223	13098	571646
224	13190	573043
225	13264	573668
226	13322	573570
227	13378	573405
228	13432	573135
229	13489	573007
230	13545	572855
231	13608	572944
232	13673	573157
233	13734	573193
234	13797	573348
235	13860	573446
236	13923	573550
237	13977	573324
238	14031	573080
239	14085	572798
240	14139	572578
241	14198	572520
242	14250	572209
243	14308	572093
244	14360	571764
245	14410	571395
246	14462	571050
247	14530	571360
248	14598	571684
249	14674	572296
250	14726	571974
251	14780	571730
252	14831	571407
253	14881	571010
254	14939	570916
255	14999	570919
256	15064	571097
257	15119	570896
258	15173	570657
259	15224	570345
260	15281	570203
261	15335	569983
262	15389	569771
263	15442	569492
264	15493	569176
265	15543	568804
266	15596	568541
267	15649	568295
268	15707	568209
269	15768	568262
270	15827	568223
271	15886	568182
272	15940	567974
273	15992	567673
274	16047	567505
275	16100	567258
276	16176	567821
277	16230	567602
278	16288	567543
279	16349	567565
280	16403	567365
281	16457	567126
282	16508	566840
283	16562	566618
284	16616	566423
285	16669	566173
286	16722	565938
287	16775	565706
288	16839	565850
289	16892	565614
290	16944	565348
291	16996	565090
292	17050	564863
293	17100	564551
294	17155	564371
295	17214	564348
296	17276	564413
297	17339	564521
298	17403	564655
299	17461	564601
300	17515	564385
301	17567	564141
302	17620	563919
303	17696	564433
304	17747	564151
305	17834	564992
